ID	Number	Name	Plural	TeReo	Hierarchy	GazetteerName	OSMClass	OSMType	OSMLandUse	WikiLink	WikiData	WikiMi
fe_230	230	Ridge				Ridge	natural	ridge		https://en.wikipedia.org/wiki/Ridge	Q740445	
fe_231	231	River	Rivers	Awa		Stream	waterway	river		https://en.wikipedia.org/wiki/River	Q4022	
fe_232	232	River mouth					waterway	river		https://en.wikipedia.org/wiki/River_mouth	Q1233637	
fe_233	233	River outlet				Stream	waterway	river		https://en.wikipedia.org/wiki/River_mouth	Q1233637	
fe_234	234	Riverboat					historic	ship		https://en.wikipedia.org/wiki/Riverboat	Q863970	
fe_235	235	Road		Ara		Road	highway			https://en.wikipedia.org/wiki/Road	Q34442	
fe_236	236	Rock	Rocks			Rock	natural	bare_rock		https://en.wikipedia.org/wiki/Rock_(geology)	Q8063	
fe_237	237	Rock wall					barrier	wall				
fe_238	238	Rockfall					natural	bare_rock		https://en.wikipedia.org/wiki/Rockfall	Q5654036	
fe_239	239	Sacred peak					natural	peak		https://en.wikipedia.org/wiki/Holy_place	Q4588528	
fe_240	240	Sacred site					historic			https://en.wikipedia.org/wiki/Holy_place	Q4588528	
fe_241	241	Saddle				Saddle	natural	saddle		https://en.wikipedia.org/wiki/Saddle_(landform)	Q10862618	
fe_242	242	Scenic reserve					leisure	nature_reserve			Q63248569	
fe_243	243	School				Building	amenity	school		https://en.wikipedia.org/wiki/School	Q3914	
fe_244	244	Sea				Sea	place	sea		https://en.wikipedia.org/wiki/Sea	Q165	
fe_245	245	Settlement			12		place		residential	https://en.wikipedia.org/wiki/Human_settlement	Q486972	
fe_246	246	Shoal				Shoal	natural			https://en.wikipedia.org/wiki/Shoal	Q28337	
fe_247	247	Shore	Shores				natural	coastline		https://en.wikipedia.org/wiki/Shore	Q468756	
fe_248	248	Site			15	Site	historic					
fe_249	249	Skifield				Recreation	route	ski	recreation_ground	https://en.wikipedia.org/wiki/Ski_resort	Q130003	
fe_250	250	Sleeping house		Whare puni	54	Building	building		residential			
fe_251	251	Social hall			41	Building	building		residential			
fe_252	252	Sound					waterway			https://en.wikipedia.org/wiki/Sound_(geography)	Q491713	
fe_253	253	Spiral					railway					
fe_254	254	Spit				Spit	natural	peninsula		https://en.wikipedia.org/wiki/Spit_(landform)	Q217101	
fe_255	255	Sports complex			50		leisure			https://en.wikipedia.org/wiki/Sports_complex	Q7579839	
fe_256	256	Spring	Springs			Spring	natural	spring		https://en.wikipedia.org/wiki/Spring_(hydrology)	Q124714	
fe_257	257	Spy station				Building	military		military			
fe_258	258	Square					place	square		https://en.wikipedia.org/wiki/Town_square	Q174782	
fe_259	259	State forest				Forest	natural	wood	forest	https://en.wikipedia.org/wiki/State_forest	Q7603683	
fe_260	260	State forest park				Forest	natural	wood	forest	https://en.wikipedia.org/wiki/State_forest	Q7603683	
fe_261	261	Station					railway	station	railway	https://en.wikipedia.org/wiki/Sheep_station	Q719456	
fe_262	262	Steamer					historic	ship		https://en.wikipedia.org/wiki/Steamboat	Q178193	
fe_263	263	Steps					highway	steps		https://en.wikipedia.org/wiki/Stairs	Q12511	
fe_264	264	Stone		Kōhatu			natural	stone		https://en.wikipedia.org/wiki/Rock_(geology)	Q22731	
fe_265	265	Store				Building	building				Q9158768	
fe_266	266	Storehouse			47	Building	building				Q60390553	
fe_267	267	Strait					natural	strait		https://en.wikipedia.org/wiki/Strait	Q37901	
fe_268	268	Stream	Streams	Awa	6	Stream	waterway	stream		https://en.wikipedia.org/wiki/Stream	Q47521	
fe_269	269	Subtribe		Hapū	7		name			https://en.wikipedia.org/wiki/Hap%C5%AB	Q675182	
fe_270	270	Suburb				Suburb	place	suburb		https://en.wikipedia.org/wiki/Suburb	Q188509	
fe_271	271	Summit					natural	peak		https://en.wikipedia.org/wiki/Summit	Q207326	
fe_272	272	Swamp					natural	wetland		https://en.wikipedia.org/wiki/Swamp	Q166735	
fe_273	273	Swimming pool					leisure	swimming_pool		https://en.wikipedia.org/wiki/Swimming_pool	Q1501	
fe_274	274	Te Arikinui's official residence				Building	building		residential			
fe_275	275	Teachers' College site			42	Building	amenity	college		https://en.wikipedia.org/wiki/Normal_school	Q627006	
fe_276	276	Temple			21	Building	building	temple	religious	https://en.wikipedia.org/wiki/Temple	Q44539	
fe_277	277	Terrace	Terraces			Terrace	natural			https://en.wikipedia.org/wiki/Terrace_(geology)	Q828581	
fe_278	278	Thermal area					natural	hot_spring				
fe_279	279	Thermal region					natural	hot_spring				
fe_280	280	Timeball station					historic			https://en.wikipedia.org/wiki/Time_ball	Q185876	
fe_281	281	Title					name			https://en.wikipedia.org/wiki/Title	Q216353	
fe_282	282	Town			8	Town	place	town	residential	https://en.wikipedia.org/wiki/Town	Q3957	
fe_283	283	Town site					place	town	residential			
fe_284	284	Township			9	Town	place	town	residential	https://en.wikipedia.org/wiki/Township#New_Zealand	Q19610511	
fe_285	285	Track				Track	highway	footway		https://en.wikipedia.org/wiki/Trail	Q628179	
fe_286	286	Training centre				Building	amenity	school				
fe_287	287	Training ship					historic	ship		https://en.wikipedia.org/wiki/Training_ship	Q660668	
fe_288	288	Treaty grounds			18		historic					
fe_289	289	Tree		Rākau			natural	tree		https://en.wikipedia.org/wiki/Tree	Q10884	
fe_290	290	Tribe		Iwi			name			https://en.wikipedia.org/wiki/Iwi	Q1676081	
fe_291	291	Tunnel					tunnel			https://en.wikipedia.org/wiki/Tunnel	Q44377	
fe_292	292	University		Whare wānanga		Building	amenity	university		https://en.wikipedia.org/wiki/University	Q3918	
fe_293	293	Valley		Raorao		Valley	natural	valley		https://en.wikipedia.org/wiki/Valley	Q39816	
fe_294	294	Viaduct					bridge	viaduct		https://en.wikipedia.org/wiki/Viaduct	Q181348	
fe_295	295	Village			10	Village	place	village	residential	https://en.wikipedia.org/wiki/Village	Q532	
fe_296	296	Walk					highway	footway		https://en.wikipedia.org/wiki/Trail	Q628179	
fe_297	297	Walkway					highway	footway		https://en.wikipedia.org/wiki/Walkway	Q13634881	
fe_298	298	Ward					amenity	hospital		https://en.wikipedia.org/wiki/Hospital#Departments_or_wards	Q1195098	
fe_299	299	Waterfall				Waterfall	waterway	waterfall		https://en.wikipedia.org/wiki/Waterfall	Q34038	
fe_300	300	Wetland				Wetland	natural	wetland		https://en.wikipedia.org/wiki/Wetland	Q170321	
fe_301	301	Help centre		Whare āwhina	31	Building	building		residential			
fe_302	302	Guest house		Whare manuhiri	51	Building	building		residential	https://en.wikipedia.org/wiki/Guest_house	Q2460422	
fe_303	303	House of mourning		Whare mate	30	Building	building		residential			
fe_304	304	Sleeping house		Whare moe	52	Building	building		residential			
fe_305	305	Sleeping house		Whare puni	53	Building	building		residential			
fe_306	306	University		Whare wānanga	22		amenity	university		https://en.wikipedia.org/wiki/W%C4%81nanga	Q3918	
fe_307	307	Wilderness					natural			https://en.wikipedia.org/wiki/Wilderness	Q911871	
fe_308	308	Wildlife refuge					leisure	nature_reserve		https://en.wikipedia.org/wiki/Wildlife_refuge	Q1377575	
fe_309	309	Wood	Woods				natural	wood	forest	https://en.wikipedia.org/wiki/Woodland	Q4421	
fe_310	310	Wreck					historic	ship		https://en.wikipedia.org/wiki/Shipwreck	Q852190	
fe_311	311	Yacht club				Building	leisure	marina		https://en.wikipedia.org/wiki/Yacht_club	Q1855011	
