ID	Number	Name	Plural	TeReo	Hierarchy	GazetteerName	OSMClass	OSMType	OSMLandUse	WikiLink	WikiData	WikiMi
fe_144	144	Kumara god					tourism	attraction				
fe_145	145	Lagoon				Lake	natural	water		https://en.wikipedia.org/wiki/Lagoon	Q187223	
fe_146	146	Lagoon outlet					natural	water				
fe_147	147	Lake	Lakes			Lake	natural	water		https://en.wikipedia.org/wiki/Lake	Q23397	
fe_148	148	Lakelet				Lake	natural	water				
fe_149	149	Landing					waterway			https://en.wikipedia.org/wiki/Landing_(water_transport)	Q16938673	
fe_150	150	Landmark					tourism	attraction		https://en.wikipedia.org/wiki/Landmark	Q2319498	
fe_151	151	Lawn cemetery					amenity	grave_yard	cemetary	https://en.wikipedia.org/wiki/Cemetery#Lawn_cemetery	Q39614	
fe_152	152	Legendary site					tourism	attraction				
fe_153	153	Lighthouse				Building	man_made	lighthouse		https://en.wikipedia.org/wiki/Lighthouse	Q39715	
fe_154	154	Locality	Localities		13	Locality	place	locality	residential		Q3257686	
fe_155	155	Lodge				Building	building		residential		Q56439882	
fe_156	156			Marae	19	Building	building		residential	https://en.wikipedia.org/wiki/Marae	Q186685	
fe_157	157	Marae complex				Building	building		residential			
fe_158	158	Marae gate			59		barrier	gate				
fe_159	159	Marae site				Building	building		residential			
fe_160	160	Maritime park					boundary	maritime				
fe_161	161	Marshland					natural	wetland		https://en.wikipedia.org/wiki/Marsh	Q62562206	
fe_162	162	Mauri stone					natural	stone				
fe_163	163	Meeting house			23	Building	building		residential	https://en.wikipedia.org/wiki/Meeting_house	Q6807904	
fe_164	164	Meeting room				Building	building		residential	https://en.wikipedia.org/wiki/Conference_hall	Q3469909	
