ID	Number	Name	TeReo	Area_1	TeReo_1	Area_2	TeReo_2	Area_3	TeReo_3	Region	RegionID	GazetteerDistrict	Part	PartID	Island	IslandID	Iwi_1	IwiID_1	Iwi_2	IwiID_2	Iwi_3	IwiID_3	Iwi_4	IwiID_4	Iwi_Semi	IwiID_Semi	GooglePlaceIDSmall_1	GooglePlaceIDLarge_1	GooglePlaceIDSmall_2	GooglePlaceIDLarge_2	GooglePlaceName	Boundary	Map	MapID	MapAreaShape_1	MapAreaCoords_1	MapAreaShape_2	MapAreaCoords_2	Speaker_1	SpeakerID_1	SpeakerBrackets_1	SpeakerLocation_1	Speaker_2	SpeakerID_2	SpeakerLocation_2	Speaker_3	SpeakerID_3	Speaker_4	SpeakerID_4	FeaturedName_1	FeaturedName_2	FeaturedName_3	FeaturedName_4	FeaturedName_5	FeaturedName_6	FeaturedName_7	FeaturedName_8	Notes	Wikipedia_1	Wikipedia_2	Wikipedia_3	Length
zo_29	29	New Plymouth	Ngāmotu	New Plymouth	Ngāmotu					Taranaki	re_6	Taranaki	Lower North Island	pa_1	North Island	is_1	Te Āti Awa	iw_81									ChIJDc5kI-b5FG0RoOmiQ2HvAAU	ChIJHx8Mm5dMFG0R_g4SWD0Fwjg			New Plymouth		Lower North Island	ma_1	poly	84,477,89,407,118,438,110,463,98,478,91,471			Aila Taylor	sp_1			Huirangi Waikerepuru	sp_39		Sonny Waru	sp_103												https://en.wikipedia.org/wiki/New_Plymouth			155
zo_30	30	Urenui	Urenui		Urenui					Taranaki	re_6	Taranaki	Lower North Island	pa_1	North Island	is_1	Ngāti Mutunga	iw_34									ChIJ8cHa_wzwFG0RgBGjQ2HvAAU				Urenui		Lower North Island	ma_1	poly	89,407,103,398,145,387,134,422,117,436,103,429			Jack Te Kapenga McClutchie	sp_41																			https://en.wikipedia.org/wiki/Urenui			44
zo_31	31	Mt Messenger		Mt Messenger						Taranaki	re_6	Taranaki	Lower North Island	pa_1	North Island	is_1	Ngāti Tama	iw_52									ChIJ7bNtO3zqFG0RUCCjQ2HvAAU				Mt Messenger		Lower North Island	ma_1	poly	103,398,108,353,114,341,145,387			Te Mahinga Peter White	sp_115																						69
zo_32	32	Palliser Bay		Palliser Bay						Wairarapa	re_7	Wellington	Lower North Island	pa_1	North Island	is_1	Ngāti Kahungunu	iw_20													Palliser Bay		Lower North Island	ma_1	poly	318,715,372,710,411,725,377,807,303,792			George Heiti Hawkins	sp_15			Tom Gemmell	sp_123						Wairarapa									https://en.wikipedia.org/wiki/Palliser_Bay			202
zo_33	33	Masterton/Carterton	Te Oreore/Carterton	Masterton	Te Oreore	Carterton				Wairarapa	re_7	Wellington	Lower North Island	pa_1	North Island	is_1	Ngāti Kahungunu	iw_20									ChIJk57H2MI-QW0RFpmiQ2HvAAU	ChIJW_f4ycg5QW0Rz8bWJ3-8jFM	ChIJRRDye6rQQG0RBpmiQ2HvAAU	ChIJLz06QbDQQG0Rb-LGAJpSzzg	Masterton		Lower North Island	ma_1	poly	318,715,329,644,427,687,412,726,327,711			Tom Gemmell	sp_123										Tīnui									https://en.wikipedia.org/wiki/Masterton	https://en.wikipedia.org/wiki/Carterton,_New_Zealand		131
zo_34	34	Eketāhuna/Castlepoint	Eketāhuna/Rangiwhakaoma		Eketāhuna	Castlepoint	Rangiwhakaoma			Wairarapa	re_7	Wellington	Lower North Island	pa_1	North Island	is_1	Ngāti Kahungunu	iw_20									ChIJ8-4SsjkEQW0RcMGiQ2HvAAU	ChIJa0HZ2mQLQW0ROYC7eFdsUdQ	ChIJn4YFGJ1gQW0R8LqiQ2HvAAU		Eketahuna		Lower North Island	ma_1	poly	329,644,332,621,447,622,436,690			Tom Gemmell	sp_123										Eketāhuna									https://en.wikipedia.org/wiki/Eketahuna	https://en.wikipedia.org/wiki/Castlepoint		77
zo_35	35	Pongaroa	Pongaroa		Pongaroa					Wairarapa	re_7	Wellington	Lower North Island	pa_1	North Island	is_1	Ngāti Kahungunu	iw_20									ChIJ9yN_GWHVQ20RAPmiQ2HvAAU	ChIJG8kkSRTVQ20RScbzLzf6Byw			Pongaroa		Lower North Island	ma_1	circle	410,597,27			Dan Pomana	sp_9																			https://en.wikipedia.org/wiki/Pongaroa			52
zo_36	36	Pahiatua	Pahiatua		Pahiatua					Wairarapa	re_7	Wellington	Lower North Island	pa_1	North Island	is_1	Rangitāne (Tāne-nui-ā-Rangi)	iw_74	Ngāti Kahungunu	iw_20							ChIJGdjEW7uhQW0RYCGjQ2HvAAU	ChIJgZ6xJxmiQW0RyDXp_clDwuo			Pahiatua		Lower North Island	ma_1	circle	362,596,27			Arapera Mikaera Rangimauriora Nitenetara (Governor)	sp_3																			https://en.wikipedia.org/wiki/Pahiatua			91
zo_37	37	Woodville/Dannevirke	Woodville/Taniwaka	Woodville		Dannevirke	Taniwaka			Hawkes Bay	re_8	Hawke's Bay	Lower North Island	pa_1	North Island	is_1	Rangitāne (Tāne-nui-ā-Rangi)	iw_74	Ngāti Kahungunu	iw_20							ChIJ0yGmiESXQW0RUB2jQ2HvAAU	ChIJN-rZdQeWQW0R-MUUQNs3OSc	ChIJSYNJczztQW0R8L6iQ2HvAAU	ChIJAcmutmcgQm0RGBGFJjx0Qpc	Woodville		Lower North Island	ma_1	poly	452,584,344,567,358,512,407,507,426,531,472,537			Manahi Paewai	sp_66																			https://en.wikipedia.org/wiki/Woodville,_New_Zealand	https://en.wikipedia.org/wiki/Dannevirke		242
zo_38	38	Pōrangahau	Pōrangahau		Pōrangahau					Hawkes Bay	re_8	Hawke's Bay	Lower North Island	pa_1	North Island	is_1	Ngāti Kahungunu	iw_20									ChIJO_yngflAQm0RUPmiQ2HvAAU	ChIJZzHTJig_Qm0RArqBZ-D0sFQ			Porangahau		Lower North Island	ma_1	circle	442,507,25			Henare Petua	sp_25			Wi Huata	sp_135						Taumata-whakatangihanga-koauauōtamatea-turipūkakapikimaunga-horonukupōkaiwhenua-kitānatahu									https://en.wikipedia.org/wiki/Porangahau			67
