ID	Number	Name	WikiLink	Wikipedia	WikiData	WikiMi			2001	2006	2013						
iw_29	29	Ngāti Mamoe	https://en.wikipedia.org/wiki/K%C4%81ti_Mamoe	Kāti Mamoe	Q1163411	https://mi.wikipedia.org/wiki/K%C4%81ti_M%C4%81moe	Q1163411	Kāti Māmoe	2262	2880	3111		Q28182812	Ngāti Apa ki Te Rā Tō	375	741	846
iw_30	30	Ngāti Mahanga	https://en.wikipedia.org/wiki/Ng%C4%81ti_M%C4%81hanga	Ngāti Māhanga	Q25659619	https://mi.wikipedia.org/wiki/Ng%C4%81ti_M%C4%81hanga											
iw_31	31	Ngāti Manawa	https://en.wikipedia.org/wiki/Ng%C4%81ti_Manawa	Ngāti Manawa	Q7023233		Q7023233	Ngāti Manawa	1542	1941	2253						
iw_32	32	Ngāti Maniapoto	https://en.wikipedia.org/wiki/Ng%C4%81ti_Maniapoto	Ngāti Maniapoto	Q1984412	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Maniapoto	Q1984412	Ngāti Maniapoto	27168	33627	35361		Q16879890	Ngāti Pūkenga ki Waiau	273	480	594
iw_33	33	Ngāti Maru	https://en.wikipedia.org/wiki/Ng%C4%81ti_Maru_(Taranaki)	Ngāti Maru (Taranaki)	Q7023239	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Maru	Q7023239										
iw_34	34	Ngāti Mutunga	https://en.wikipedia.org/wiki/Ng%C4%81ti_Mutunga	Ngāti Mutunga	Q7023241		Q7023241	Ngāti Mutunga (Taranaki)	1206	2091	2514						
iw_35	35	Ngāti Pāoa	https://en.wikipedia.org/wiki/Ng%C4%81ti_Paoa	Ngāti Paoa	Q7023242	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Paoa	Q7023242	Ngāti Pāoa	2397	3375	3456						
iw_36	36	Ngāti Pikiao	https://en.wikipedia.org/wiki/Ng%C4%81ti_Pikiao	Ngāti Pikiao	Q7023244	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Pikiao	Q7023244	Ngāti Pikiao (Te Arawa)	5022	7389	8001						
iw_37	37	Ngāti Porou	https://en.wikipedia.org/wiki/Ng%C4%81ti_Porou	Ngāti Porou	Q1984414	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Porou	Q1984414	Ngāti Porou	61701	71907	71049		Q7023272	Ngāti Rāhiri Tumutumu	93	195	249
iw_38	38	Ngāti Rangi-te-Aorere	https://en.wikipedia.org/wiki/Ng%C4%81ti_Rangiteaorere	Ngāti Rangiteaorere	Q7023255	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Rangiteaorere	Q7023255	Ngāti Rangiteaorere (Te Arawa)	177	456	435						
iw_39	39	Ngāti Ranginui	https://en.wikipedia.org/wiki/Ng%C4%81ti_Ranginui	Ngāti Ranginui	Q7023252	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Ranginui	Q7023252	Ngāti Ranginui	6120	7644	8967						
iw_40	40	Ngāti Rangiteauira	https://en.wikipedia.org/wiki/Ng%C4%81ti_Rangi	Ngāti Rangi		https://mi.wikipedia.org/wiki/Ng%C4%81ti_Rangi_Te_Auria											
iw_41	41	Ngāti Rangitihi	https://en.wikipedia.org/wiki/Ng%C4%81ti_Rangitihi	Ngāti Rangitihi	Q17055843	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Rangitihi	Q17055843	Ngāti Rangitihi (Te Arawa)	1041	1536	2298		Q28180813	Ngāti Porou ki Harataunga ki Mataora	591	1173	1647
iw_42	42	Ngāti Rangituhia			Q25659897	https://mi.wikipedia.org/wiki/Rangituhia	Q25659897										
