ID	Number	Zone	Island	IslandID	Region	RegionID	Sector	SectorID	FullName	Name	TeReo	WikiLink	Wikipedia	WikiMi	WikiData	Link	Area	Population
di_24	24	41	North Island	is_1	Hawke's Bay	re_6	Hawkes Bay	se_8	Napier City	Napier	Ahuriri	https://en.wikipedia.org/wiki/Napier_City,_New_Zealand	Napier City, New Zealand	https://mi.wikipedia.org/wiki/Ahuriri	Q203380		105	62800
di_25	25	38	North Island	is_1	Hawke's Bay	re_6	Hawkes Bay	se_8	Central Hawke's Bay District	Central Hawke's Bay		https://en.wikipedia.org/wiki/Central_Hawke%27s_Bay_District	Central Hawke's Bay District		Q1053673	https://en.wikipedia.org/wiki/Waipawa	3332	14150
di_26	26	29	North Island	is_1	Taranaki	re_7	Taranaki	se_6	New Plymouth District	New Plymouth	Ngāmotu	https://en.wikipedia.org/wiki/New_Plymouth_District	New Plymouth District	https://mi.wikipedia.org/wiki/Ng%C4%81motu	Q4846747	https://en.wikipedia.org/wiki/New_Plymouth	2205	81900
di_27	27	24	North Island	is_1	Taranaki	re_7	Taranaki	se_6	Stratford District	Stratford	Whakaahurangi	https://en.wikipedia.org/wiki/Stratford_District,_New_Zealand	Stratford District, New Zealand		Q26772445		2163	9510
di_28	28	26	North Island	is_1	Taranaki	re_7	Taranaki	se_6	South Taranaki District	South Taranaki		https://en.wikipedia.org/wiki/South_Taranaki_District	South Taranaki District		Q1972712	https://en.wikipedia.org/wiki/Hawera,_New_Zealand	3575	28300
di_29	29	22	North Island	is_1	Manawatu-Wanganui	re_8	Whanganui	se_5	Ruapehu District		Ruapehu	https://en.wikipedia.org/wiki/Ruapehu_District	Ruapehu District		Q586428	https://en.wikipedia.org/wiki/Taumarunui	6734	12750
di_30	30	20	North Island	is_1	Manawatu-Wanganui	re_8	Whanganui	se_5	Whanganui District		Whanganui	https://en.wikipedia.org/wiki/Whanganui_District	Whanganui District	https://mi.wikipedia.org/wiki/Whanganui	Q10856931	https://en.wikipedia.org/wiki/Whanganui	2373	45200
di_31	31	19	North Island	is_1	Manawatu-Wanganui	re_8	Rangitikeī	se_3	Rangitikei District		Rangitikei	https://en.wikipedia.org/wiki/Rangitikei_District	Rangitikei District		Q591972	https://en.wikipedia.org/wiki/Marton,_New_Zealand	4484	15150
di_32	32	10	North Island	is_1	Manawatu-Wanganui	re_8	Manawatū	se_2	Manawatu District		Manawatu	https://en.wikipedia.org/wiki/Manawatu_District	Manawatu District		Q613305	https://en.wikipedia.org/wiki/Feilding	2657	30800
di_33	33	9	North Island	is_1	Manawatu-Wanganui	re_8	Manawatū	se_2	Palmerston North City	Palmerston North	Te Papa-i-Oea	https://en.wikipedia.org/wiki/Palmerston_North_City	Palmerston North City	https://mi.wikipedia.org/wiki/Te_Papa-i-oea	Q212289		395	88700
di_34	34	37	North Island	is_1	Manawatu-Wanganui	re_8	Manawatū	se_2	Tararua District		Tararua	https://en.wikipedia.org/wiki/Tararua_District	Tararua District		Q1750590	https://en.wikipedia.org/wiki/Dannevirke	4364	17900
di_35	35	7	North Island	is_1	Manawatu-Wanganui	re_8	Manawatū	se_2	Horowhenua District		Horowhenua	https://en.wikipedia.org/wiki/Horowhenua_District	Horowhenua District		Q1232367	https://en.wikipedia.org/wiki/Levin,_New_Zealand	1064	33000
di_36	36	5	North Island	is_1	Wellington	re_9	Wellington	se_1	Kapiti Coast District	Kapiti Coast	Kapiti	https://en.wikipedia.org/wiki/Kapiti_Coast_District	Kapiti Coast District		Q1533839	https://en.wikipedia.org/wiki/Paraparaumu	731	53200
di_37	37	4	North Island	is_1	Wellington	re_9	Wellington	se_1	Porirua City		Porirua	https://en.wikipedia.org/wiki/Porirua_City	Porirua City	https://mi.wikipedia.org/wiki/Porirua	Q1015773		175	56800
di_38	38	3	North Island	is_1	Wellington	re_9	Wellington	se_1	Upper Hutt City	Upper Hutt	Whakatiki	https://en.wikipedia.org/wiki/Upper_Hutt_City	Upper Hutt City	https://mi.wikipedia.org/wiki/Whakataki	Q7898701		540	43700
di_39	39	2	North Island	is_1	Wellington	re_9	Wellington	se_1	Lower Hutt City	Lower Hutt	Awakairangi	https://en.wikipedia.org/wiki/Lower_Hutt_City	Lower Hutt City	https://mi.wikipedia.org/wiki/Awakairangi	Q1015681		376	105900
di_40	40	1	North Island	is_1	Wellington	re_9	Wellington	se_1	Wellington City	Wellington	Te Whanganui-a-Tara	https://en.wikipedia.org/wiki/Wellington_City_Council	Wellington City Council	https://mi.wikipedia.org/wiki/Te_Whanga-nui-a-Tara	Q23661		290	216300
di_41	41	33	North Island	is_1	Wellington	re_9	Wairarapa	se_7	Masterton District	Masterton	Te Oreore	https://en.wikipedia.org/wiki/Masterton_District	Masterton District	https://mi.wikipedia.org/wiki/Te_Ore_Ore	Q15057714		2300	25700
di_42	42	33	North Island	is_1	Wellington	re_9	Wairarapa	se_7	Carterton District	Carterton	Taratahi	https://en.wikipedia.org/wiki/Carterton_District,_New_Zealand	Carterton District, New Zealand	https://mi.wikipedia.org/wiki/Taratahi	Q26772467		1180	9340
di_43	43	32	North Island	is_1	Wellington	re_9	Wairarapa	se_7	South Wairarapa District	South Wairarapa		https://en.wikipedia.org/wiki/South_Wairarapa_District	South Wairarapa District	https://mi.wikipedia.org/wiki/Wairarapa	Q1760817	https://en.wikipedia.org/wiki/Martinborough	2387	10450
di_44	44	140	South Island	is_2	Tasman	re_10	Top of the South	se_19	Tasman District	Tasman	Te Tai-o-Aorere	https://en.wikipedia.org/wiki/Tasman_District_Council	Tasman District Council	https://mi.wikipedia.org/wiki/Te_Tai-o-Aorere	Q666142	https://en.wikipedia.org/wiki/Richmond,_New_Zealand	9616	52100
di_45	45	143	South Island	is_2	Nelson	re_11	Top of the South	se_19	Nelson City	Nelson	Whakatū	https://en.wikipedia.org/wiki/Nelson_City_Council	Nelson City Council	https://mi.wikipedia.org/wiki/Whakat%C5%AB	Q206687	https://en.wikipedia.org/wiki/Nelson,_New_Zealand	424	51900
di_46	46	146	South Island	is_2	Marlborough	re_12	Top of the South	se_19	Marlborough District	Marlborough	Tauihu	https://en.wikipedia.org/wiki/Marlborough_District,_New_Zealand	Marlborough District, New Zealand	https://mi.wikipedia.org/wiki/Tauihu	Q32270195	https://en.wikipedia.org/wiki/Blenheim,_New_Zealand	10458	46600
di_47	47		South Island	is_2	West Coast	re_13	West Coast	se_24	Buller District	Buller		https://en.wikipedia.org/wiki/Buller_District	Buller District		Q1004325	https://en.wikipedia.org/wiki/Westport,_New_Zealand	7942	10150
di_48	48	174	South Island	is_2	West Coast	re_13	West Coast	se_24	Grey District	Grey		https://en.wikipedia.org/wiki/Grey_District	Grey District		Q642203	https://en.wikipedia.org/wiki/Greymouth,_New_Zealand	3474	13550
di_49	49	173	South Island	is_2	West Coast	re_13	West Coast	se_24	Westland District	Westland		https://en.wikipedia.org/wiki/Westland_District	Westland District		Q2119644	https://en.wikipedia.org/wiki/Hokitika	11828	8890
di_50	50	147	South Island	is_2	Canterbury	re_14	South Island East Coast	se_20	Kaikoura District		Kaikoura	https://en.wikipedia.org/wiki/Kaikoura_District	Kaikoura District		Q1327367		2047	3830
di_51	51	148	South Island	is_2	Canterbury	re_14	South Island East Coast	se_20	Hurunui District		Hurunui	https://en.wikipedia.org/wiki/Hurunui_District	Hurunui District	https://mi.wikipedia.org/wiki/Hurunui	Q1638765	https://en.wikipedia.org/wiki/Amberley,_New_Zealand	8641	12850
di_52	52	149	South Island	is_2	Canterbury	re_14	South Island East Coast	se_20	Waimakariri District		Waimakariri	https://en.wikipedia.org/wiki/Waimakariri_District	Waimakariri District		Q1542322	https://en.wikipedia.org/wiki/Rangiora	2217	60700
di_53	53	150	South Island	is_2	Canterbury	re_14	South Island East Coast	se_20	Christchurch City	Christchurch	Ōtautahi	https://en.wikipedia.org/wiki/Christchurch_City_Council	Christchurch City Council	https://mi.wikipedia.org/wiki/%C5%8Ctautahi	Q79990	https://en.wikipedia.org/wiki/Christchurch	1415	388400
di_54	54	153	South Island	is_2	Canterbury	re_14	South Island East Coast	se_20	Selwyn District	Selwyn		https://en.wikipedia.org/wiki/Selwyn_District	Selwyn District		Q1210763	https://en.wikipedia.org/wiki/Rolleston,_New_Zealand	6381	62200
di_55	55	154	South Island	is_2	Canterbury	re_14	South Island East Coast	se_20	Ashburton District	Ashburton	Hakatere	https://en.wikipedia.org/wiki/Ashburton_District,_New_Zealand	Ashburton District, New Zealand	https://mi.wikipedia.org/wiki/Hakatere	Q15784197		6183	34500
di_56	56	155	South Island	is_2	Canterbury	re_14	South Island East Coast	se_20	Timaru District	Timaru	Tihi-o-Maru	https://en.wikipedia.org/wiki/Timaru_District	Timaru District	https://mi.wikipedia.org/wiki/Te_Tihi-o-Maru	Q14395599		2733	47300
di_57	57	157	South Island	is_2	Canterbury	re_14	South Island East Coast	se_20	Mackenzie District	Mackenzie		https://en.wikipedia.org/wiki/Mackenzie_District	Mackenzie District		Q1760822		7140	4670
di_58	58	156	South Island	is_2	Canterbury	re_14	South Island East Coast	se_20	Waimate District		Waimate	https://en.wikipedia.org/wiki/Waimate_District	Waimate District		Q6460450		3554	7930
di_59	59	177	South Island	is_2			Chatham Islands	se_25	Chatham Islands Territory	Chatham Islands	Wharekauri	https://en.wikipedia.org/wiki/Chatham_Islands	Chatham Islands	https://mi.wikipedia.org/wiki/Wharekauri	Q115459	https://en.wikipedia.org/wiki/Waitangi,_Chatham_Islands	794	650
di_60	60	158	South Island	is_2	Otago	re_15	Otago	se_21	Waitaki District		Waitaki	https://en.wikipedia.org/wiki/Waitaki_District	Waitaki District	https://mi.wikipedia.org/wiki/Waitaki_Bridge	Q1760804	https://en.wikipedia.org/wiki/Oamaru	7109	22300
di_61	61		South Island	is_2	Otago	re_15	Otago	se_21	Central Otago District	Central Otago		https://en.wikipedia.org/wiki/Central_Otago_District	Central Otago District		Q1053677	https://en.wikipedia.org/wiki/Alexandra,_New_Zealand	9956	21000
di_62	62	162	South Island	is_2	Otago	re_15	The Southern Lakes	se_22	Queenstown-Lakes District	Queenstown-Lakes		https://en.wikipedia.org/wiki/Queenstown-Lakes_District	Queenstown-Lakes District		Q613684	https://en.wikipedia.org/wiki/Queenstown,_New_Zealand	8719	39100
di_63	63	160	South Island	is_2	Otago	re_15	Otago	se_21	Dunedin City	Dunedin	Ōtepoti	https://en.wikipedia.org/wiki/Dunedin_City_Council	Dunedin City Council	https://mi.wikipedia.org/wiki/%C5%8Ctepoti	Q133073		3287	130700
di_64	64	161	South Island	is_2	Otago	re_15	Otago	se_21	Clutha District	Clutha		https://en.wikipedia.org/wiki/Clutha_District	Clutha District		Q1103566	https://en.wikipedia.org/wiki/Balclutha,_New_Zealand	6334	17700
di_65	65	164	South Island	is_2	Southland	re_16	Southland	se_23	Southland District	Southland		https://en.wikipedia.org/wiki/Southland_District	Southland District		Q1972706	https://en.wikipedia.org/wiki/Invercargill	29552	31400
di_66	66	165	South Island	is_2	Southland	re_16	Southland	se_23	Gore District	Gore	Maruawai	https://en.wikipedia.org/wiki/Gore_District,_New_Zealand	Gore District, New Zealand		Q24189360		1254	12500
di_67	67	166	South Island	is_2	Southland	re_16	Southland	se_23	Invercargill City	Invercargill	Waihopai	https://en.wikipedia.org/wiki/Invercargill_City	Invercargill City	https://mi.wikipedia.org/wiki/Waihopai	Q31805	https://en.wikipedia.org/wiki/Invercargill	389	55200
