1.500000	3.300000	1
5.260000	6.350000	2
7.800000	9.100000	3
10.580000	11.900000	4
13.230000	15.070000	5
16.400000	17.350000	6
18.660000	20.220000	7
21.510000	22.520000	8
23.920000	24.850000	9
26.540000	27.820000	10
29.430000	30.170000	11
32.110000	33.190000	12
34.990000	36.380000	13
38.010000	38.840000	14
40.110000	41.120000	15
43.460000	44.540000	16
46.040000	47.300000	17
48.770000	49.880000	18
50.970000	53.870000	19
55.170000	56.250000	20
57.520000	58.310000	21
60.210000	61.060000	22
62.210000	63.190000	23
65.160000	65.970000	24
67.660000	68.940000	25
70.790000	73.510000	26
74.930000	76.550000	27
78.120000	80.230000	28
82.220000	83.430000	29
85.130000	86.060000	30
87.790000	89.020000	31
90.830000	92.460000	32
93.420000	93.890000	33
94.320000	95.080000	34
96.800000	98.170000	35
99.940000	100.740000	36
102.650000	103.880000	37
105.120000	106.280000	38
107.420000	108.490000	39
