0.700000	3.700000	1
5.790000	7.030000	2
8.280000	9.370000	3
10.600000	11.540000	4
13.040000	13.900000	5
15.860000	16.840000	6
17.960000	18.800000	7
21.430000	22.270000	8
24.440000	25.580000	9
27.790000	28.740000	10
30.020000	30.620000	11
32.840000	33.550000	12
35.170000	36.310000	13
37.900000	38.990000	14
40.790000	41.960000	15
44.130000	45.180000	16
47.590000	48.830000	17
50.530000	51.520000	18
52.870000	54.500000	19
56.770000	58.590000	20
60.740000	63.000000	21
64.780000	65.980000	22
68.070000	68.920000	23
71.180000	72.610000	24
75.090000	76.280000	25
77.940000	79.110000	26
80.670000	81.570000	27
84.080000	85.490000	28
87.640000	89.220000	29
91.840000	94.020000	30
95.740000	96.860000	31
98.560000	99.500000	32
101.800000	103.930000	33
105.060000	106.080000	34
108.690000	109.520000	35
109.980000	112.560000	36
114.190000	115.160000	37
116.510000	119.390000	38
121.140000	121.970000	39
122.920000	123.750000	40
125.340000	126.350000	41
127.310000	127.970000	42
129.820000	131.880000	43
134.190000	135.180000	44
